iter,time,reward,steps,convergence
1,0.001635300999851097,-1925.99,769.45,90.511053
2,0.002548539999907007,-1395.21,797.91,84.75415000000001
3,0.004128667999793834,-1445.09,757.31,78.29094
4,0.0057214349997138925,-1242.0,766.8,68.49398185951978
5,0.007270963999644664,-804.97,800.0,60.21880216280674
6,0.0088045049997163,-799.0,800.0,50.3188021630038
7,0.010644465999575914,-802.95,800.0,40.41880216300456
8,0.012182198999425964,-799.0,800.0,30.518802188305
9,0.01371251799946549,-799.0,800.0,20.618802230816407
10,0.015251760999490216,-805.23,800.0,10.718802243262452
11,0.016785539999318644,-799.87,800.0,9.307749253163601
12,0.01832948699939152,-799.0,800.0,5.165308268889895
13,0.019854636999298236,-799.0,800.0,1.7285182688959124
14,0.02138213199918937,-802.03,800.0,1.6254764231866403
15,0.02290739799923358,-799.0,800.0,0.0006561203169695773
