iter,time,reward,steps,convergence
1,0.013209541,-2280.09,793.72,89.633659
2,0.01886971100000001,-2015.61,789.61,80.271688751
3,0.024207089000000015,-1604.94,789.88,70.869936333
4,0.02912462800000004,-1152.15,789.53,61.503595333
5,0.030937602000000064,-932.05,798.33,52.141800968598886
6,0.03305523500000007,-912.21,799.46,42.79883455029534
7,0.03481953700000007,-799.49,800.0,32.898834758871395
8,0.03667716800000009,-799.0,800.0,22.998840683281962
9,0.038520033000000065,-800.96,800.0,13.0988419488379
10,0.040364246000000104,-799.0,800.0,3.19884218754857
11,0.0421648790000001,-799.0,800.0,2.6651832983631807
12,0.04398637000000005,-806.35,800.0,2.1271951922401287
13,0.04863403300000013,-799.0,800.0,1.6290121214435445
14,0.0533198210000001,-799.0,800.0,1.0953566765860017
15,0.055087413000000085,-799.0,800.0,0.557153565468765
16,0.057193862000000095,-799.0,800.0,0.00012235112185123853
