iter,time,reward,steps,convergence
1,0.001099947999819051,-1535.36,490.58,93.51
2,0.0021022279997851,-1080.12,494.15,88.54551000000001
3,0.003102015999957075,-740.39,496.3,86.98482
4,0.0040876179998576845,-723.16,495.08,81.99940040999999
5,0.00505563099977735,-752.33,495.78,75.147061392
6,0.006019363999712368,-713.39,497.94,69.657061392
7,0.0070037819996287,-625.38,498.85,59.757142711803716
8,0.007964788999515804,-549.53,498.08,54.21128974869371
9,0.008932318999541167,-879.56,496.17,48.72128974869371
10,0.009901558999445115,-708.64,498.9,43.73701592161847
11,0.010863575999337627,-670.25,497.92,39.36581137171716
12,0.011827430999346689,-499.0,500.0,34.77988768204885
13,0.012789787999281543,-507.59,498.0,26.440578284031563
14,0.01375193399917407,-523.64,500.0,21.526558507767145
15,0.014714998999124873,-504.06,500.0,18.47889753124071
16,0.0156725469992125,-499.36,500.0,14.068897809748194
17,0.016663580999193073,-511.09,500.0,14.068868577678723
18,0.017627331999165108,-499.0,500.0,9.714722294942533
19,0.018588648999184443,-570.99,500.0,5.539622295697406
20,0.019552413999235796,-499.0,500.0,0.6238961257589992
21,0.020515025999202408,-499.0,500.0,0.5851010304442852
22,0.021478326999158526,-499.0,500.0,0.23551493628191764
