iter,time,reward,steps,convergence
1,0.0017276110002057976,-1002.43,1000.0,93.75965829
2,0.0034219780004605127,-1785.81,981.83,88.43984829000001
3,0.004482247000396455,-1137.12,1000.0,83.03903829000001
4,0.006169456000407081,-1354.21,1000.0,77.62993758000002
5,0.00778571400041983,-1179.51,967.77,72.18224699255737
6,0.009425511000699771,-1487.81,963.4,70.29224699255735
7,0.011027814000499347,-1014.19,997.17,65.00369957165125
8,0.012630648000140354,-1627.37,936.68,64.18469957165125
9,0.014246173000174167,-1252.85,1000.0,58.71636696958702
10,0.0150093970000853,-1606.22,965.51,56.63975952724495
11,0.01662435100024595,-1165.74,1000.0,56.3885721712035
12,0.01822353400029897,-1103.21,981.94,55.98419943288212
13,0.019144021000556677,-1155.63,850.04,57.21056107575949
14,0.020223405000706407,-989.07,756.85,57.673390362355406
15,0.021843876000730233,-1134.99,969.33,61.06188806879807
16,0.023459339000964974,-1065.37,992.45,61.34544436728659
17,0.02507497000078729,-1068.43,940.81,61.221821056396344
18,0.026668612000776193,-1281.36,974.15,59.32443905749634
19,0.02827466400094636,-973.91,872.64,62.75805549474353
20,0.028970572000616812,-1108.57,891.0,63.30641709103861
21,0.03002693300049941,-449.27,360.66,66.27350976137116
22,0.030927869000606734,-1136.51,908.74,69.45312101491842
23,0.031571361000715115,-1148.34,982.85,67.10261333974206
24,0.03318501600051604,-1027.34,997.89,68.77913758264165
25,0.034597794000546855,-1082.83,831.18,68.14745360449801
26,0.0352538570004981,-1007.0,958.35,66.27556540824905
27,0.03591318200051319,-540.49,532.41,66.22050532087047
28,0.03636478600083137,-763.76,720.52,66.9662642405488
29,0.03736057000105575,-315.48,342.04,64.16125947879837
30,0.03857151400097791,-289.29,319.25,63.747542873867964
31,0.03890784400073244,-447.15,422.52,61.19023332656648
32,0.03936004100114587,-310.45,309.44,60.880950107365734
33,0.03955635900092602,-183.16,175.27,64.76862888887062
34,0.039819302000978496,-187.47,191.07,65.3751853756431
35,0.040200427001309436,-434.48,368.96,66.6140201337134
36,0.04047785500142709,-128.65,183.72,65.81128571451173
37,0.04075059000115289,-557.32,576.88,69.14312920175499
38,0.041034236000996316,-230.28,251.84,70.77325645310941
39,0.041193668001142214,-630.93,625.96,73.59678855422672
40,0.041661001001102704,-985.85,847.06,72.14497838658319
41,0.041839379000975896,-533.57,469.73,76.1853725550981
42,0.04207465800118371,-339.43,326.25,76.44960539773146
43,0.04367583800103603,-946.95,926.12,72.55221778671132
44,0.04460866200088276,-1013.02,973.93,72.95415074814545
45,0.04505425400111562,-835.22,802.61,71.52941229848074
46,0.045271244001014566,-852.42,823.22,72.72998064873644
47,0.04585528000097838,-842.02,701.23,72.48083238128677
48,0.046161760000813956,-381.88,384.8,68.7381664763114
49,0.0466273650004041,-365.68,347.53,66.69035962677557
50,0.04728470500049298,-1009.16,985.65,68.59613062364197
51,0.048512737000237394,-989.97,987.96,68.14748706094815
52,0.04889471400019829,-611.17,641.67,67.38033819860318
53,0.04913733500052331,-351.27,312.76,71.89421572140373
54,0.04954879000069923,-262.83,214.0,69.64590598096689
55,0.04996122700094929,-341.61,311.48,67.40099784695457
56,0.050853247001214186,-567.48,528.55,66.3903385876092
57,0.051045482001427445,-1207.93,754.4,67.74989123383517
58,0.05135598800097796,-989.13,970.94,67.76412115531325
59,0.0516903950010601,-756.81,464.3,67.68505250076481
60,0.05206967900130621,-860.65,518.96,66.01626771841805
61,0.05251532600141218,-759.34,594.31,65.47256568401436
62,0.05297286000131862,-439.07,396.87,66.96489398070817
63,0.05404211000131909,-989.15,990.37,66.04793017678719
64,0.054357121000975894,-767.57,713.09,65.76610400398702
65,0.05490547800127388,-944.97,902.57,69.12406097961106
66,0.05567593900150314,-918.82,910.79,70.47408353985846
67,0.056326649001221085,-369.07,347.13,70.20708227340413
68,0.057246133001171984,-990.58,990.99,72.95054760009205
69,0.059762895001313154,-374.89,366.13,74.37806130994986
70,0.0601283750015682,-165.2,182.91,77.99213762262971
71,0.06046015300125873,-188.82,170.97,77.9526587418183
72,0.06073384200135479,-162.79,128.85,75.25355431538365
73,0.060921081001652055,-192.85,156.0,76.69457006741776
74,0.06123120000165727,-276.22,218.02,80.37188312186751
75,0.061410293001699756,-58.48,95.21,78.56090774969816
76,0.06159723300152109,-96.73,120.44,74.47208311530532
77,0.061835838001570664,-674.04,649.66,72.49986187633888
78,0.062066729001344356,-361.39,344.23,70.18290832935318
79,0.06266839000136315,-988.96,845.48,70.65041721603676
80,0.06315328300161127,-555.52,520.35,64.1456269405715
81,0.0634778800017557,-173.86,195.59,62.3258003526518
82,0.06397531900211106,-1143.09,435.89,68.35483347837348
83,0.06465175800212819,-543.42,294.03,70.18812467989704
84,0.0649575770021329,-594.5,485.04,67.28566066490868
85,0.06538142400222569,-541.34,426.62,66.92030460193328
86,0.06570425300242277,-989.67,992.8,70.25992676492912
87,0.06735403400216455,-980.53,974.6,67.00414631029301
88,0.06856921500229873,-988.5,977.77,67.67387607080477
89,0.06911990900243836,-971.24,891.36,69.00526753822103
90,0.06968279100237851,-1001.14,1000.0,71.56429932787651
91,0.07013769400236924,-374.68,329.09,72.10460155139961
92,0.07066546000214657,-741.69,723.06,66.81538459600912
93,0.07117374400240806,-80.94,140.75,62.419838390780356
94,0.0714466380027261,-169.41,169.58,61.73754311126942
95,0.0719405610029753,-271.39,220.5,68.13610758328818
96,0.07258090000277662,-905.05,664.33,67.21897667533656
97,0.07314177300258962,-249.62,223.59,74.91335132061336
98,0.07351039300283446,-1041.3,744.74,77.07754227027546
99,0.0737901290026457,-775.05,656.02,74.38849854011195
100,0.07432699100263562,-757.73,510.26,75.46727729129695
101,0.0749452890026987,-724.17,661.53,78.63025105638232
102,0.07542268500264981,-999.0,1000.0,80.97808767815187
103,0.07595662000267112,-377.75,396.86,77.69257706456293
104,0.07632029500291537,-293.13,276.24,80.29233476102294
105,0.07678071900318173,-460.53,513.87,76.72802603731903
106,0.07701803300324173,-87.72,145.5,76.90717529843234
107,0.07786260200327888,-187.0,162.33,75.55136711539514
108,0.07807714100363228,-79.85,126.59,72.57351623798013
109,0.0783144640035971,-176.3,195.74,72.06135868250243
110,0.078816375003953,-141.12,170.14,71.34392876963133
111,0.07910950400400907,-136.6,202.71,68.80299558706068
112,0.07927238800402847,-107.5,177.05,68.89394348009249
113,0.07960325600424767,-152.51,208.56,73.82335149937063
114,0.07990954900424185,-228.41,152.92,75.59177307099104
115,0.08039897900425785,-814.09,450.18,71.98099531872477
116,0.0809352610044698,-188.74,208.38,75.64668704728368
117,0.08110984800441656,-94.95,146.22,73.02258520650317
118,0.08134867600438156,-145.25,201.86,71.13392105453688
119,0.08152479300451887,-65.44,121.51,66.65050080440112
120,0.08166924500483219,-63.95,112.73,66.21817999315374
121,0.08183909500485242,-537.29,316.14,69.26198464226205
122,0.08204558700481357,-158.07,143.99,70.90003344509164
123,0.0822344790049101,-220.96,169.56,75.98505501081567
124,0.0824388460046066,-390.37,382.36,75.4096673217534
125,0.08275435200448555,-634.57,480.06,76.96918897327507
126,0.08303969900453012,-515.64,369.53,77.48651365691309
127,0.08399314100461197,-843.32,828.12,79.06202047126241
128,0.08516991300439258,-674.37,681.2,83.34428107734877
129,0.08578739100448729,-739.68,761.52,94.55577258372065
130,0.08639180400450641,-504.94,438.64,98.40886652862952
131,0.08686218600450957,-74.18,110.98,92.5122876717616
132,0.0870755300043129,-493.88,481.12,89.73401184617951
133,0.08771253500435705,-127.98,147.39,82.88810849377771
134,0.08787492400460906,-153.15,139.7,83.2466440975252
135,0.08837364800501746,-172.47,160.78,82.66147451312708
136,0.08874554200519924,-827.19,794.34,80.54312182165036
137,0.08937158800517864,-911.26,907.86,76.82371017975983
138,0.08982933400511683,-732.71,694.35,77.3816190755866
139,0.09045882200507549,-977.02,979.08,69.80253132322771
140,0.09137388700537485,-738.52,721.64,65.21964937978595
141,0.09188142500534013,-820.45,782.52,71.62075390941224
142,0.09233059200550997,-433.79,396.25,71.97315190079917
143,0.09286411000539374,-963.2,943.54,76.34401886779722
144,0.09408425800529585,-314.76,357.65,76.24561612452992
145,0.09440177800524907,-971.2,944.37,80.50697186764219
146,0.09485439400532414,-526.58,441.04,79.03543880778352
147,0.09644466900499538,-797.65,623.71,83.42625249708162
148,0.09677507600508761,-516.46,491.81,81.13531368271546
149,0.0976583420051611,-672.67,568.53,81.86884475862705
150,0.09795552600508017,-1052.32,984.91,86.97326805162996
151,0.09892384000522725,-678.65,591.46,84.3109403075438
152,0.09936504000552304,-416.8,365.73,82.08150877702795
153,0.09961689900546844,-421.73,403.1,76.30124500238603
154,0.10002373600536885,-605.59,533.01,74.6884662396446
155,0.10067490200526663,-796.52,702.23,70.79057655249471
156,0.10118861700539128,-823.59,771.45,72.68130095178435
157,0.10159886500514403,-648.4,367.57,70.84222019077643
158,0.10199858500527625,-565.14,394.39,68.8096592198792
159,0.10270260600509573,-438.7,322.89,69.11622683483708
160,0.1036025210050866,-333.16,374.84,66.9454272696136
161,0.10692902600476373,-913.48,601.42,61.81243758471315
162,0.10731865900470439,-933.19,789.57,61.023327326180244
163,0.10759825600462136,-176.1,155.39,63.84197366015451
164,0.10774978500467114,-191.47,235.61,65.98239213941193
165,0.1079444450047049,-155.56,189.49,65.79953122830482
166,0.1084286890045405,-352.65,277.68,66.49854122724719
167,0.10919932300430446,-410.23,245.96,62.41634382347736
168,0.10948398300433837,-201.07,201.17,66.4695758907246
169,0.10983753900427473,-200.11,175.69,64.43937225561714
170,0.1101783070039346,-134.8,126.3,59.29077339658155
171,0.11032958100395263,-213.35,226.44,59.20104592304399
172,0.1104933930041625,-208.66,203.0,65.09191335206773
173,0.11152572300443353,-427.79,412.78,67.38588528491573
174,0.11173929800452242,-364.12,247.72,65.48736444700504
175,0.112327962004656,-511.23,437.36,65.85614530334658
176,0.11283335800499117,-130.24,144.41,59.45000177248586
177,0.11307224300480812,-201.55,196.1,62.68452872348
178,0.11360413700458594,-193.25,204.41,59.6723711220553
179,0.11387038300426866,-82.66,144.6,62.86795485043763
180,0.11417877800431597,-341.12,326.02,63.67646731340473
181,0.11470007600428289,-377.37,300.88,65.2748090723177
182,0.11500387300429793,-753.5,682.22,61.23474531364807
183,0.11552120200394711,-305.75,309.8,57.00422313793223
184,0.11641428500433904,-814.63,756.66,60.547808593154016
185,0.11673407600437713,-191.65,179.52,60.06733674823276
186,0.11697370300453258,-545.34,488.18,66.2234137621297
187,0.1174944490044254,-758.08,569.7,65.72134153223466
188,0.11771541500411331,-200.1,192.85,63.965555375509474
189,0.11788310300380545,-304.36,294.1,63.99641650545293
190,0.11834291300374389,-409.19,332.5,65.40652684882055
191,0.11872300400364111,-370.34,325.17,65.11750570509557
192,0.11891952700352704,-428.55,363.97,65.02435645895468
193,0.11916156600364047,-735.07,488.02,67.99492428370763
194,0.11937467300367643,-760.27,669.12,59.466455986523044
195,0.12048047000371298,-468.35,380.55,58.717661743044424
196,0.12081078400387923,-170.03,164.83,55.389118267910064
197,0.12104665300375927,-188.56,154.86,55.680299773635774
