iter,time,reward,steps,convergence
1,0.0007077050000017238,-294.36,195.8,90.1
2,0.0013649490000009479,-280.78,200.0,81.201
3,0.002028003000001277,-216.92,198.24,72.202
4,0.002443573000000754,-213.16,199.06,63.11281
5,0.003047493000000401,-457.7,195.06,53.8695661
6,0.0033415540000003574,-245.86,194.9,44.501538540999995
7,0.003516716000000031,-218.26,195.82,35.04757466110009
8,0.003710754000000094,-198.3,186.72,25.585649884459993
9,0.0038705599999993012,-212.48,174.22,16.34393414805595
10,0.004170980999999685,-223.94,200.0,6.896494309580126
11,0.004297134999999841,-51.38,121.24,6.326248009839929
12,0.004499694999999804,-232.2,186.12,5.733397443230768
13,0.004584797999999779,-145.08,170.46,5.915032266552033
14,0.004735377000001151,-131.44,166.18,6.06676966800529
15,0.004840584000000092,-169.52,164.68,5.848677159897561
16,0.005012246999999803,-93.8,141.18,5.65669095348594
17,0.005092675000000213,-194.66,187.16,5.604894485555252
18,0.005201845000000205,-121.6,160.44,5.64494085004753
19,0.005340098000001348,-188.9,168.34,5.40566666666466
20,0.005482854000000259,22.58,71.16,5.568362582500943
21,0.005553728000000646,9.8,66.54,5.682131333104381
22,0.005710879000000446,-15.68,96.12,6.279090197655773
23,0.0057809630000011936,40.86,50.9,5.456196677953152
24,0.0058739050000014,48.06,41.48,4.712421413306207
25,0.005949538000001198,50.72,35.92,4.906210084277157
26,0.006016123000001983,8.02,70.3,4.846513946358431
27,0.0061156710000016545,-149.52,155.74,4.9394768577621075
28,0.006155412000001803,-113.94,140.6,4.914228703554171
29,0.006220713000001155,-32.04,115.02,5.871848934035175
30,0.006265952999999769,34.28,44.96,5.9145720132603685
31,0.006312080000000719,24.82,37.76,5.7111083821841895
32,0.006358235000000434,39.38,42.0,5.008222881441617
33,0.006421736000001843,11.94,54.14,4.929387012486701
34,0.006484296000001777,13.84,47.96,5.360686448959426
35,0.0066117540000014685,43.94,36.22,5.064541613706803
36,0.006653335000001093,72.4,23.56,5.090095451926019
37,0.006694418000000368,32.66,52.4,4.787596642480974
38,0.006763376000000321,70.06,21.36,4.80217805599896
39,0.00679821299999972,36.02,62.8,4.306228554548626
40,0.006852538999998714,44.42,40.04,4.056978470438242
41,0.006904777999999112,66.14,25.58,4.183961868545607
42,0.006957382999999595,57.58,21.66,4.587545656230003
43,0.007037117999999509,12.08,56.5,4.9771744066440275
44,0.0070979389999994424,30.24,60.8,4.745491215570317
45,0.007170389999998861,70.2,25.18,4.733998650607615
46,0.007224619999998794,64.22,21.5,4.871666185280934
47,0.007299903999998136,63.66,23.22,4.852511707833222
48,0.007359892999996731,50.66,29.42,4.7412562981462845
49,0.007413931999996848,67.74,20.88,4.244158821425376
50,0.007478564999995996,58.38,26.18,5.029806770976203
51,0.007544651999996432,65.66,22.14,5.107780586397313
52,0.0076121659999977,67.0,23.02,4.865737233561797
53,0.007672741999998678,52.14,23.34,4.475313448361039
54,0.0077120659999980745,69.34,23.24,4.31916344005179
55,0.007752373999997175,67.66,21.78,4.130789640417946
56,0.007816997999997355,56.32,20.9,4.074011383417443
57,0.00786127299999606,62.22,22.92,4.454433087717971
58,0.007924108999997515,68.78,22.3,4.842833762937698
59,0.007985020999997872,59.38,24.22,4.698405718564848
60,0.008034694999997427,64.36,22.18,4.2456277268741704
61,0.008080063999997833,62.04,22.28,4.427129747096062
62,0.008121211999997158,65.32,23.54,4.736952510767996
63,0.008184398999997455,70.36,20.72,4.9529696405373995
64,0.008233713999997505,63.42,24.04,4.9379096651977985
65,0.008298368999996697,65.7,22.92,5.369111086870825
66,0.008341607999996725,67.5,21.12,5.260892197914502
67,0.008418846999997953,67.42,21.2,5.149225715384929
68,0.00848304399999833,70.0,27.94,4.875370248500763
69,0.008532844999999512,66.54,22.9,5.136018689002315
70,0.008580388000000383,62.92,22.56,5.498232214689852
71,0.008653881000000752,59.96,25.52,5.277605137551089
72,0.008693711000001159,66.28,24.52,4.743547523698769
73,0.008745623000001146,62.86,21.46,4.758193010715198
74,0.008799766000000986,67.42,24.82,5.029094670929069
75,0.00884481699999995,67.36,21.74,5.054360877654878
76,0.008881821999999318,63.96,22.1,4.8873797190520225
77,0.008938402000000067,56.56,20.76,4.815490154157551
78,0.008990252000000254,63.22,21.1,4.762738241036953
79,0.009027658000000827,60.18,21.34,4.477331805345439
80,0.00907270300000107,73.22,20.52,3.575824519086113
81,0.009113406000000879,67.72,21.72,3.2559601493802846
82,0.009158819000001373,69.64,20.96,3.4354577994366986
83,0.009208311000001856,64.94,22.42,3.749496397239298
84,0.009253469000000791,70.82,21.18,3.347095665623242
85,0.009285629000000739,63.28,20.7,3.349541383495444
86,0.009324550000000542,67.04,21.0,3.6440086474320537
87,0.009388520000001677,61.96,18.98,3.919053898791779
88,0.009503585000000925,67.76,21.1,3.633138619859694
89,0.009562004000001068,66.98,21.3,3.5418506489403696
90,0.009678852000000404,58.56,20.64,3.749895464848005
91,0.00972693600000163,62.08,21.08,4.0345943748756605
92,0.009769828000001368,72.7,21.62,4.096651750813598
93,0.00980221600000064,61.9,21.6,4.071428639287574
94,0.009845307000000858,73.9,20.66,4.441932857892587
95,0.009882482000001858,73.62,20.84,4.086535942915736
96,0.00994986600000125,63.72,21.52,4.284182672660542
97,0.010010815000001116,71.64,20.6,4.267524680777186
98,0.010062674000000271,68.68,20.42,4.592603981276831
99,0.010103636000000193,73.48,21.56,4.991321285870956
100,0.010151400999999893,51.3,21.72,4.911555632408332
101,0.010197261000000069,60.02,20.68,4.862315498410714
102,0.010251646000000392,69.58,20.1,4.90802862268406
103,0.010362117999999754,63.04,21.18,4.632984223620049
104,0.010419656999999916,69.32,21.86,4.746715588827925
105,0.010511788000000521,65.84,20.94,4.708941637549557
106,0.010577634000000558,76.26,20.86,4.39419504903064
107,0.010617918999999532,67.24,21.04,4.795321032161401
108,0.01066774899999956,65.12,21.18,4.8525861272547335
109,0.0107085179999995,70.5,21.16,5.030838687746835
110,0.010766628999999028,69.4,21.2,5.738898831185699
111,0.010799271999998084,61.78,20.56,5.86885670561339
112,0.010840153999998492,68.92,20.76,5.674811541131275
113,0.010891465999998573,60.46,21.78,5.690640466534459
114,0.010936348999997847,73.16,20.0,5.532136140481194
115,0.010976810999997255,64.72,20.42,5.62871848803201
116,0.011034701999996344,58.78,20.9,5.810157180023731
117,0.011079474999997174,63.96,20.12,5.262040211058116
118,0.011122487999996267,64.68,21.62,5.162614280563284
119,0.011176485999996544,70.58,22.0,4.966368133191629
120,0.011262627999997221,70.12,21.54,4.440957316489298
121,0.011332710999997886,58.04,20.24,4.248531210713109
122,0.011414437999997418,73.2,22.18,4.380308463439548
123,0.011465700999996997,59.72,22.04,4.385996780844612
124,0.011502484999995843,71.1,20.56,4.368459480433234
125,0.011572772999995706,62.74,20.66,4.634829695037064
126,0.01162441499999467,67.54,20.26,4.651840824438195
127,0.011660823999994463,70.8,22.02,5.261106671144364
128,0.011719151999994182,67.12,21.16,5.143770741537989
129,0.011775618999994464,72.32,21.66,4.957396904338392
130,0.011843899999995244,60.5,20.44,4.878759637877257
131,0.01189962499999453,65.98,21.48,5.271055721947536
132,0.011984987999992924,66.58,21.36,5.317212831735186
