iter,time,reward,steps,convergence
1,0.00033549300000856874,-740.08,191.44,98.02799999999999
2,0.0007788440000098262,-222.58,174.42,91.13954283124504
3,0.0009845350000006192,-51.0,109.58,82.49376551330148
4,0.0014254609999966306,-196.58,193.08,73.43020287404607
5,0.0020730709999838837,-221.1,190.28,71.52655979988774
6,0.0025683389999926476,-23.56,94.82,62.101740592514474
7,0.0029051329999845166,-272.8,165.6,52.568920309371435
8,0.0031170019999819942,-192.72,195.52,50.02023536186991
9,0.0037625969999908193,-227.84,196.92,46.43291959686384
10,0.004335863999997969,-176.08,170.26,43.21630329418404
11,0.004572572000000719,-335.52,181.9,39.90338227994432
12,0.004828027000002066,-348.1,193.32,39.83576616402016
13,0.004936030000010305,-258.4,185.96,40.586153331767576
14,0.005126337000007197,-174.48,184.7,42.04132180614563
15,0.0052656730000109064,-151.86,176.48,36.67295348203828
16,0.005432574000010959,4.0,84.8,38.78736104938403
17,0.00552869700000258,19.4,72.48,40.11074098391292
18,0.005587644000002001,21.42,64.68,34.19966806040268
19,0.005687349000012887,21.04,74.36,29.248293472487923
20,0.005765156000009597,52.18,35.78,23.8536121548058
21,0.0060454080000056365,-78.7,113.52,21.001461798813345
22,0.006193773000006786,51.56,39.48,19.477424433212995
23,0.006271105999999804,66.06,25.8,20.726281682935305
24,0.006318757000002506,51.6,45.2,21.17151421411364
25,0.006396711999997251,-29.66,80.08,19.98896215595679
26,0.006511310999997022,61.52,31.52,20.541450558172095
27,0.006559139000003711,57.72,32.42,20.248528034582648
28,0.006608228000004601,63.2,29.3,27.322880515934052
29,0.006644882999992774,61.74,31.28,27.687125503455025
30,0.006726412999995546,49.3,39.48,31.32195139679277
31,0.0067937329999949725,34.06,49.1,32.053341690232955
32,0.00684797099999912,41.16,46.42,33.44763929287623
33,0.00693652200000372,32.16,57.28,35.327279349511485
34,0.006988715000005641,24.56,71.7,34.567360229386935
35,0.00711573300000623,64.44,31.28,33.974289910443304
36,0.007161477000011018,57.26,40.98,34.7576016935593
37,0.00723536100001354,42.06,51.28,35.1960077010376
38,0.007387350000016113,40.74,52.66,28.464032733022265
39,0.007471081000019808,23.72,66.46,28.92931320980342
40,0.007591310000009344,14.9,76.4,26.31782675618686
41,0.007645582000009199,56.54,35.34,24.302914468153638
42,0.007692793000018128,-216.7,144.64,24.89964617955392
43,0.007852082000013638,-171.0,167.56,23.48780259797693
44,0.007941781000013748,35.04,53.64,24.314894671719006
45,0.008186837000010883,-46.54,94.82,29.447188841073007
46,0.008410021000003098,-37.14,107.66,31.694862777277827
47,0.00847134999999355,-5.5,88.52,33.32745554787094
48,0.008552480999995282,-69.48,114.84,39.603346603407076
49,0.008731333999989488,40.98,56.96,38.97476235141629
50,0.008836076999998,36.54,58.02,38.07803556764276
51,0.008966396000005261,22.08,66.88,37.754783796202915
52,0.009034778000014398,71.76,28.5,36.40078341265606
53,0.009202976000011631,71.7,24.6,33.52644281953498
54,0.009305928000003405,70.36,25.6,31.775281967340515
55,0.009358038000002011,56.8,41.14,27.27801370714073
56,0.009417138000003433,54.1,40.7,22.99674170356204
57,0.009488693999998077,44.82,48.24,24.81272569148975
58,0.009536805999985631,7.24,82.6,22.34812134945733
59,0.009636399999990886,53.52,39.54,22.546111439486015
60,0.009696905999987848,73.14,22.48,22.910496266243005
61,0.00984241799997676,60.5,37.2,23.94996905704757
62,0.00991374599998096,60.72,30.84,24.18895907016554
63,0.009961528999980374,11.28,81.78,25.006766909370324
64,0.01013492499997426,-8.54,89.72,25.608866160161064
65,0.010173441999967281,-38.02,82.72,26.000080660023674
66,0.01026676799996551,66.6,27.62,28.080693195316588
67,0.010334183999958668,13.52,65.62,28.70845623315828
