iter,time,reward,steps,shape
15,0.033736351,98.49,3.51,2
18,0.04955962,95.66,6.34,3
22,0.09643725099999995,93.53,8.47,4
26,0.08576013100000002,90.23,11.77,5
30,0.17957684400000007,85.54,16.46,7
35,0.19088866199999988,76.25,25.75,10
43,0.4916663309999998,63.46,38.54,15
51,1.1364049100000004,50.84,51.16,20
65,2.0197778400000015,36.01,65.99,25
69,3.067950668,22.18,79.82,30
78,4.732400005000002,10.02,91.98,35
90,7.383054102000003,-3.82,105.82,40
107,13.297921643000002,-29.24,131.24,50
