iter,time,reward,steps,shape
2,0.010063992000000008,98.53,3.47,2
2,0.035576147999999974,95.85,6.15,3
3,0.044033068999999925,93.28,8.72,4
3,0.06669812799999997,90.59,11.41,5
3,0.138724509,85.06,16.94,7
4,0.14638928100000026,76.96,25.04,10
6,0.5004887670000002,63.6,38.4,15
7,1.0785656469999996,51.39,50.61,20
8,2.1330777439999995,37.19,64.81,25
8,3.103549637999997,23.81,78.19,30
10,4.964309098000001,11.37,90.63,35
11,7.920327293999996,-0.67,102.67,40
13,14.461110874,-28.83,130.83,50
